
# Surface 0 of 1 surfaces

# Curve title: "'outputs/function.dat' using 1:2:3"

# Contour 0, label:        0
 3.3061  2.40686  0 
 3.17561  2.39392  0 
 3.04512  2.37342  0 

 3.04512  2.37342  0 
 2.9309  2.35  0 
 2.91463  2.34632  0 
 2.78415  2.3096  0 
 2.65366  2.26895  0 
 2.52317  2.22514  0 
 2.45451  2.2  0 
 2.39268  2.1753  0 
 2.2622  2.11964  0 
 2.13171  2.0628  0 
 2.10413  2.05  0 
 2.00122  1.99806  0 
 1.87073  1.93141  0 
 1.81107  1.9  0 
 1.74024  1.85941  0 
 1.60976  1.78366  0 
 1.55279  1.75  0 
 1.47927  1.70262  0 
 1.34878  1.6186  0 
 1.3205  1.6  0 
 1.21829  1.52654  0 
 1.11019  1.45  0 
 1.0878  1.43253  0 
 0.957317  1.3299  0 
 0.919246  1.3  0 
 0.826829  1.21984  0 
 0.745182  1.15  0 
 0.696341  1.10335  0 
 0.586591  1  0 
 0.565854  0.977894  0 
 0.444144  0.85  0 
 0.435366  0.839373  0 
 0.31855  0.7  0 
 0.304878  0.680762  0 
 0.210564  0.55  0 
 0.17439  0.488885  0 
 0.120983  0.4  0 
 0.0514281  0.25  0 
 0.0439024  0.221951  0 
 0.0106129  0.1  0 
 0.00453049 -0.05  0 
 0.0439024 -0.180123  0 
 0.0523583 -0.2  0 
 0.17439 -0.316382  0 
 0.233733 -0.35  0 
 0.304878 -0.37528  0 
 0.435366 -0.401126  0 
 0.565854 -0.410183  0 
 0.696341 -0.406699  0 
 0.826829 -0.393604  0 
 0.957317 -0.372978  0 
 1.06878 -0.35  0 
 1.0878 -0.345673  0 
 1.21829 -0.308871  0 
 1.34878 -0.26816  0 
 1.47927 -0.224293  0 
 1.54548 -0.2  0 
 1.60976 -0.174269  0 
 1.74024 -0.118588  0 
 1.87073 -0.0617302  0 
 1.89596 -0.05  0 
 2.00122  0.00318788  0 
 2.13171  0.0698373  0 
 2.18895  0.1  0 
 2.2622  0.142019  0 
 2.39268  0.217744  0 
 2.44723  0.25  0 
 2.52317  0.298971  0 
 2.65366  0.382946  0 
 2.67957  0.4  0 
 2.78415  0.475201  0 
 2.88973  0.55  0 
 2.91463  0.569442  0 
 3.04512  0.671967  0 
 3.0808  0.7  0 
 3.17561  0.782253  0 
 3.25479  0.85  0 
 3.3061  0.899008  0 
 3.41333  1  0 
 3.43659  1.02479  0 
 3.55576  1.15  0 
 3.56707  1.16369  0 
 3.68136  1.3  0 
 3.69756  1.32278  0 
 3.78938  1.45  0 
 3.82805  1.51524  0 
 3.87904  1.6  0 
 3.94845  1.75  0 
 3.95854  1.78737  0 
 3.98946  1.9  0 
 3.99554  2.05  0 
 3.95854  2.17362  0 
 3.94745  2.2  0 
 3.82805  2.31466  0 
 3.76624  2.35  0 
 3.69756  2.3746  0 
 3.56707  2.40081  0 
 3.43659  2.41014  0 
 3.3061  2.40686  0 


# Contour 1, label:      -20
 8.39512  5.07639 -20 
 8.41543  5.05 -20 
 8.50533  4.9 -20 
 8.52561  4.85383 -20 
 8.5667  4.75 -20 
 8.60599  4.6 -20 
 8.62719  4.45 -20 
 8.63279  4.3 -20 
 8.62482  4.15 -20 
 8.60499  4 -20 
 8.57472  3.85 -20 
 8.53521  3.7 -20 
 8.52561  3.67072 -20 
 8.48623  3.55 -20 
 8.42948  3.4 -20 
 8.39512  3.32006 -20 
 8.36515  3.25 -20 
 8.29369  3.1 -20 
 8.26463  3.0445 -20 
 8.21538  2.95 -20 
 8.13415  2.80521 -20 
 8.13124  2.8 -20 
 8.04022  2.65 -20 
 8.00366  2.59338 -20 
 7.94362  2.5 -20 
 7.87317  2.39657 -20 
 7.84159  2.35 -20 
 7.74268  2.2119 -20 
 7.7342  2.2 -20 
 7.62126  2.05 -20 
 7.6122  2.03855 -20 
 7.50301  1.9 -20 
 7.48171  1.87417 -20 
 7.37975  1.75 -20 
 7.35122  1.71673 -20 
 7.25155  1.6 -20 
 7.22073  1.56537 -20 
 7.11847  1.45 -20 
 7.09024  1.4194 -20 
 6.98057  1.3 -20 
 6.95976  1.27819 -20 
 6.8379  1.15 -20 
 6.82927  1.14124 -20 
 6.69878  1.00863 -20 
 6.69031  1 -20 
 6.56829  0.880179 -20 
 6.53769  0.85 -20 
 6.4378  0.754912 -20 
 6.38036  0.7 -20 
 6.30732  0.632511 -20 
 6.21838  0.55 -20 
 6.17683  0.512697 -20 
 6.05181  0.4 -20 
 6.04634  0.395227 -20 
 5.91585  0.281589 -20 
 5.8797  0.25 -20 
 5.78537  0.170157 -20 
 5.70283  0.1 -20 
 5.65488  0.0604732 -20 
 5.52439 -0.0474841 -20 
 5.52134 -0.05 -20 
 5.3939 -0.151812 -20 
 5.33385 -0.2 -20 
 5.26341 -0.254867 -20 
 5.14182 -0.35 -20 
 5.13293 -0.356758 -20 
 5.00244 -0.455407 -20 
 4.94362 -0.5 -20 
 4.87195 -0.55281 -20 
 4.74146 -0.649368 -20 
 4.7406 -0.65 -20 
 4.61098 -0.742525 -20 
 4.53082 -0.8 -20 
 4.48049 -0.835104 -20 
 4.35 -0.926025 -20 
 4.31546 -0.95 -20 
 4.21951 -1.01481 -20 
 4.09397 -1.1 -20 
 4.08902 -1.10327 -20 
 3.95854 -1.18863 -20 
 3.8651 -1.25 -20 
 3.82805 -1.2737 -20 
 3.69756 -1.35668 -20 
 3.62936 -1.4 -20 
 3.56707 -1.43854 -20 
 3.43659 -1.51905 -20 
 3.38617 -1.55 -20 
 3.3061 -1.5979 -20 
 3.17561 -1.67585 -20 
 3.13489 -1.7 -20 
 3.04512 -1.75186 -20 
 2.91463 -1.82719 -20 
 2.87477 -1.85 -20 
 2.78415 -1.90053 -20 
 2.65366 -1.97315 -20 
 2.605 -2 -20 

-1  2.45726 -20 
-0.943627  2.5 -20 
-0.869512  2.5546 -20 
