# iter erro h x y dfx dfy
0 3.298484500494e+01 2.073170731707e-01 1.000000000000e+01 1.300000000000e+01 8.000000000000e+00 -3.200000000000e+01
1 8.849592562301e+00 8.500000000000e-01 1.165853658537e+01 6.365853658537e+00 -8.585365853659e+00 -2.146341463415e+00
2 9.734551818531e+00 2.073170731707e-01 4.360975609756e+00 4.541463414634e+00 2.360975609756e+00 -9.443902439024e+00
3 2.611709024484e+00 8.500000000000e-01 4.850446162998e+00 2.583581201666e+00 -2.533729922665e+00 -6.334324806663e-01
4 2.872879926932e+00 2.073170731707e-01 2.696775728733e+00 2.045163593099e+00 6.967757287329e-01 -2.787102914932e+00
5 7.707726633233e-01 8.500000000000e-01 2.841229233470e+00 1.467349574150e+00 -7.477593186402e-01 -1.869398296600e-01
6 8.478499296557e-01 2.073170731707e-01 2.205633812626e+00 1.308450718939e+00 2.056338126260e-01 -8.225352505042e-01
7 2.274719323466e-01 8.500000000000e-01 2.248265212805e+00 1.137925118225e+00 -2.206801891597e-01 -5.517004728991e-02
8 2.502191255813e-01 2.073170731707e-01 2.060687052019e+00 1.091030578028e+00 6.068705201890e-02 -2.427482080756e-01
9 6.713196052182e-02 8.499999999998e-01 2.073268514023e+00 1.040704730013e+00 -6.512756802030e-02 -1.628189200508e-02
10 7.384515657398e-02 2.073170731706e-01 2.017910081206e+00 1.026865121808e+00 1.791008120556e-02 -7.164032482231e-02
11 1.981211517839e-02 8.500000000038e-01 2.021623146821e+00 1.012012859345e+00 -1.922057495232e-02 -4.805143738116e-03
12 2.179332669622e-02 2.073170731711e-01 2.005285658112e+00 1.007928487168e+00 5.285658111937e-03 -2.114263244754e-02
13 5.846990089200e-03 8.499999999735e-01 2.006381465281e+00 1.003545258490e+00 -5.672413583474e-03 -1.418103395817e-03
14 6.431689098074e-03 2.073170731689e-01 2.001559913736e+00 1.002339870603e+00 1.559913735317e-03 -6.239654941794e-03
15 1.725575123955e-03 8.500000000507e-01 2.001883310486e+00 1.001046283603e+00 -1.674053764920e-03 -4.185134413248e-04
16 1.898132636178e-03 2.073170731427e-01 2.000460364785e+00 1.000690547178e+00 4.603647853187e-04 -1.841459141269e-03
17 5.092550974408e-04 8.500000029838e-01 2.000555806265e+00 1.000308781258e+00 -4.940500133808e-04 -1.235125036096e-04
18 5.601806083559e-04 2.073170720258e-01 2.000135863752e+00 1.000203795630e+00 1.358637554416e-04 -5.434550155581e-04
19 1.502923563713e-04 8.500000300807e-01 2.000164030628e+00 1.000091128127e+00 -1.458050017105e-04 -3.645125319984e-05
20 1.653215895211e-04 2.073170703773e-01 2.000040096372e+00 1.000060144561e+00 4.009637733571e-05 -1.603854996137e-04
21 4.435457041664e-05 8.499998369083e-01 2.000048409036e+00 1.000026893909e+00 -4.303025345020e-05 -1.075756500590e-05
22 4.879001315450e-05 2.073171363732e-01 2.000011833328e+00 1.000017749981e+00 1.183330637833e-05 -4.733326783324e-05
23 1.309001527986e-05 8.499991188146e-01 2.000014286575e+00 1.000007936983e+00 -1.269918308999e-05 -3.174783279825e-06
24 1.439903945159e-05 2.073176471947e-01 2.000003492280e+00 1.000005238420e+00 3.492279801343e-06 -1.396912019125e-05
25 3.863167803186e-06 8.500012646382e-01 2.000004216292e+00 1.000002342375e+00 -3.747832924894e-06 -9.369172015994e-07
26 4.249614300092e-06 2.073273313077e-01 2.000001030629e+00 1.000001545994e+00 1.030730913953e-06 -4.122719428068e-06
27 1.140159407979e-06 8.493766309075e-01 2.000001244327e+00 1.000000691242e+00 -1.106171299448e-06 -2.763123809757e-07
28 1.253948056698e-06 2.074377745242e-01 2.000000304771e+00 1.000000456549e+00 3.035542448515e-07 -1.216651367208e-06
